Sample ID,Latency (seconds)
2_1729298547084_9240,0.39046478271484375
2_1729298548087_3610,0.19801878929138184
2_1729298549090_9190,0.19897818565368652
2_1729298550092_9083,0.3916041851043701
2_1729298551094_8451,0.39058446884155273
2_1729298552097_8322,0.38868021965026855
2_1729298553099_8759,0.4062929153442383
2_1729298554101_1047,0.40897059440612793
2_1729298555104_2914,0.40873098373413086
2_1729298556106_5541,0.39624810218811035
2_1729298557109_144,0.4144618511199951
2_1729298558111_5528,0.42291855812072754
2_1729298559113_1352,0.4297029972076416
2_1729298560116_8693,0.4026961326599121
2_1729298561119_7613,0.3936126232147217
2_1729298562121_4737,0.3643791675567627
2_1729298563124_4426,0.3647763729095459
2_1729298564126_3114,0.37470173835754395
2_1729298565129_6482,0.40473437309265137
2_1729298566132_7169,0.3661479949951172
2_1729298567134_4830,0.3681786060333252
2_1729298568137_3252,0.3695383071899414
2_1729298569140_7615,0.1887376308441162
2_1729298570142_5650,0.37080812454223633
2_1729298571145_7728,0.4190506935119629
2_1729298572147_4669,0.3814430236816406
2_1729298573150_9213,0.4055016040802002
2_1729298574152_4411,0.412609338760376
2_1729298575154_7547,0.39237046241760254
2_1729298576157_694,0.3790147304534912
2_1729298577159_306,0.3742978572845459
2_1729298578165_3403,0.367511510848999
2_1729298579167_7520,0.368927001953125
2_1729298580170_715,0.36766862869262695
2_1729298581172_6235,0.36342644691467285
2_1729298582175_7734,0.3810410499572754
2_1729298583177_8172,0.3891005516052246
2_1729298584179_5859,0.37534451484680176
2_1729298585181_8450,0.3976445198059082
2_1729298586186_112,0.41561460494995117
2_1729298587188_1357,0.363201379776001
2_1729298588190_7320,0.3746488094329834
2_1729298589192_8946,0.36114931106567383
2_1729298590194_9423,0.36934947967529297
2_1729298591196_7528,0.3573415279388428
2_1729298592198_3483,0.3633139133453369
