Sample ID,Latency (seconds)
4_1729298460452_9891,0.3480992317199707
4_1729298461455_5323,0.19288849830627441
4_1729298462458_3821,0.37926197052001953
4_1729298463461_3881,0.18827128410339355
4_1729298464463_2719,0.1898515224456787
4_1729298465466_3393,0.20003080368041992
4_1729298466468_7486,0.20343661308288574
4_1729298467471_9835,0.19523024559020996
4_1729298468473_7524,0.194366455078125
4_1729298469476_5999,0.1972641944885254
4_1729298470478_8087,0.19538640975952148
4_1729298471481_5316,0.18846726417541504
4_1729298472484_3134,0.1932227611541748
4_1729298473486_4431,0.2070779800415039
4_1729298474489_8520,0.1998453140258789
4_1729298475491_5575,0.19134855270385742
4_1729298476494_3827,0.1989579200744629
4_1729298477496_1342,0.1937880516052246
4_1729298478499_8982,0.18822050094604492
4_1729298479502_6328,0.36403322219848633
4_1729298480504_5703,0.1957857608795166
4_1729298481506_2162,0.18924975395202637
4_1729298482509_1547,0.18657279014587402
4_1729298483514_2352,0.19033360481262207
4_1729298484521_2831,0.36167311668395996
4_1729298485523_4592,0.3686811923980713
4_1729298486526_6734,0.3663935661315918
4_1729298487529_1709,0.3771073818206787
4_1729298488532_1320,0.3651115894317627
4_1729298489536_533,0.3945903778076172
4_1729298490538_1300,0.3572380542755127
4_1729298491541_866,0.3443589210510254
4_1729298492543_1645,0.5259878635406494
4_1729298493546_7817,0.3633408546447754
4_1729298494548_6541,0.40596461296081543
4_1729298495551_6632,0.40984368324279785
4_1729298496553_8614,0.3801767826080322
4_1729298497556_5992,0.36003851890563965
4_1729298498558_3471,0.36594057083129883
4_1729298499560_4434,0.3630073070526123
4_1729298500562_1111,0.3678874969482422
4_1729298501564_7527,0.7047324180603027
4_1729298502566_1891,0.364285945892334
4_1729298503570_7928,0.3571054935455322
4_1729298504573_1519,0.3731250762939453
4_1729298505575_5623,0.358856201171875
4_1729298506577_1817,0.3597719669342041
4_1729298507579_8048,0.3650834560394287
4_1729298508581_5180,0.3685328960418701
4_1729298509584_4867,0.35941290855407715
4_1729298510589_7841,0.3990015983581543
4_1729298511595_9653,0.3728146553039551
4_1729298512596_6874,0.1901998519897461
4_1729298513599_7395,0.19027137756347656
4_1729298514601_700,0.19478654861450195
4_1729298515604_9898,0.19624710083007812
4_1729298516606_7647,0.18904590606689453
4_1729298517608_5550,0.18709897994995117
