Sample ID,Latency (seconds)
3_1729298547080_7656,0.33337998390197754
3_1729298548082_6681,0.38599681854248047
3_1729298549085_7231,0.3835272789001465
3_1729298550087_7862,0.1946728229522705
3_1729298551090_6297,0.2067406177520752
3_1729298552093_8525,0.20048904418945312
3_1729298553095_5478,0.2102203369140625
3_1729298554098_815,0.2090468406677246
3_1729298555100_2734,0.2140052318572998
3_1729298556103_214,0.20833539962768555
3_1729298557105_8581,0.2131175994873047
3_1729298558108_6222,0.21564221382141113
3_1729298559110_8996,0.22706317901611328
3_1729298560112_8633,0.210585355758667
3_1729298561115_5692,0.20775365829467773
3_1729298562117_2682,0.19264817237854004
3_1729298563120_4409,0.19263219833374023
3_1729298564123_2436,0.19005513191223145
3_1729298565125_4259,0.20748090744018555
3_1729298566128_2218,0.19517135620117188
3_1729298567131_8754,0.19405603408813477
3_1729298568133_4532,0.18953251838684082
3_1729298569136_3005,0.3702108860015869
3_1729298570138_3499,0.19260334968566895
3_1729298571141_8437,0.21707653999328613
3_1729298572144_9528,0.1979081630706787
3_1729298573146_3788,0.20557832717895508
3_1729298574148_1728,0.2368483543395996
3_1729298575151_3555,0.20236706733703613
3_1729298576153_2397,0.19913411140441895
3_1729298577156_199,0.19394564628601074
3_1729298578159_1128,0.19901633262634277
3_1729298579162_6503,0.19245219230651855
3_1729298580164_6495,0.19699406623840332
3_1729298581166_2482,0.1917130947113037
3_1729298582169_7068,0.20078563690185547
3_1729298583172_7149,0.2204906940460205
3_1729298584174_4218,0.20306777954101562
3_1729298585177_1465,0.20180106163024902
3_1729298586179_7499,0.2271425724029541
3_1729298587182_1711,0.18975257873535156
3_1729298588184_3758,0.19533514976501465
3_1729298589187_5500,0.18598031997680664
3_1729298590188_9651,0.19408679008483887
3_1729298591191_9210,0.18889522552490234
3_1729298592193_677,0.18829131126403809
